"""Apple""",,
Timothy D. Cook,https://en.wikipedia.org/wiki/Tim_Cook,
Luca Maestri,https://en.wikipedia.org/wiki/Luca_Maestri,
Jeffrey E. Williams,https://en.wikipedia.org/wiki/Jeff_Williams_(Apple),
Katherine L. Adams,https://en.wikipedia.org/wiki/Katherine_L._Adams,
Angela J. Ahrendts,https://en.wikipedia.org/wiki/Angela_Ahrendts,
Eduardo H. Cue,https://en.wikipedia.org/wiki/Eddy_Cue,
Craig Federighi,https://en.wikipedia.org/wiki/Craig_Federighi,
John Giannandrea,https://en.wikipedia.org/wiki/John_Giannandrea,
Jonathan Ive,https://en.wikipedia.org/wiki/Jony_Ive,
Ron Okamoto,no page,
Tara Pietri,no page,
Daniel J. Riccio,https://en.wikipedia.org/wiki/Dan_Riccio,
Bill Rielly,no page,
Tara Sorensen,no page,
Johny Srouji,https://en.wikipedia.org/wiki/Johny_Srouji,
Kashif Zafar,no page,
,,
"""Amazon""",,
Jeffrey P. Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,
Brian T. Olsavsky,no page,
Andrew R. Jassy,https://en.wikipedia.org/wiki/Andy_Jassy,
Jeffrey A. Wilke,no page,
Ryan Andolina,no page,
Bob Berney,no page,
Jeffrey M. Blackburn,no page,
Louis J. Castle II,https://en.wikipedia.org/wiki/Louis_Castle,
Albert Cheng,https://en.wikipedia.org/wiki/Albert_Cheng_(executive),
Katie Curran,no page,
James Farrell,no page,
Russ Grandinetti,no page,
Douglas Gurr,https://en.wikipedia.org/wiki/Doug_Gurr,
Nick Hall,no page,
Steven Kessel,no page,
Gina Kwon,no page,
Diego Piacentini,-- only italian https://it.wikipedia.org/wiki/Diego_Piacentini,
Marc Resteghini,no page,
Jennifer Salke,no page,
Vernon Sanders,no page,
Sharon Tal Yguado,no page,
,,
"""Alphabet""",,
Lawrence Edward Page,https://en.wikipedia.org/wiki/Larry_Page,
Sergey Brin,https://en.wikipedia.org/wiki/Sergey_Brin,
Ruth Myrna Porat,https://en.wikipedia.org/wiki/Ruth_Porat,
Dinesh C. Jain,no page,
Susan D. Wojcicki,https://en.wikipedia.org/wiki/Susan_Wojcicki,
Paul-Henri Ferrand,no page,
Vinton G. Cerf Ph.D.,https://en.wikipedia.org/wiki/Vint_Cerf,
Ben Gomes,no page,
Neal Mohan,no page,
Ivy Ross,https://en.wikipedia.org/wiki/Ivy_Ross,
Philipp Schindler,-- only german https://de.wikipedia.org/wiki/Philipp_Schindler,
Mel Silva,no page,
Aditya Swamy,no page,
Astro Teller,https://en.wikipedia.org/wiki/Astro_Teller,
Gulshan Verma,no page,
,,
"""Microsoft""",,
Satya Nadella,https://en.wikipedia.org/wiki/Satya_Nadella,
Bradford L. Smith,https://en.wikipedia.org/wiki/Brad_Smith_(American_lawyer),
Michael Beal,no page,
William Henry Gates III,https://en.wikipedia.org/wiki/Bill_Gates,
Amy E. Hood,https://en.wikipedia.org/wiki/Amy_Hood,
Jean-Philippe Courtois,https://en.wikipedia.org/wiki/Jean-Philippe_Courtois,
Paula Bellizia,no page,
Sarkhan Gashimov,no page,
Tibor Kolejak,no page,
Cindy Rose Quackenbush,no page,
Jeffrey Weiner,https://en.wikipedia.org/wiki/Jeff_Weiner,sold linkedin to microsoft
T. Bochenek,no page,
Ralph Haupter,no page,
Andrea Della Mattea,no page,
Vahé Torossian,no page,
Michel Van der Bel,no page,
Samer Ramez Abu-Ltaif,no page,
Khaled Al-Dhaher,no page,
Judson Althoff,no page,
Erich Andersen,no page,
Jennifer Tour Chayes,https://en.wikipedia.org/wiki/Jennifer_Tour_Chayes,
Kurt D. DelBene,https://en.wikipedia.org/wiki/Kurt_DelBene,
Ali Mohamed El Faramawy,no page,
Scott Guthrie,https://en.wikipedia.org/wiki/Scott_Guthrie,
Yasuyuki Higuchi,no page,
Haris Izmee,no page,
Rajesh Jha,no page,
Margaret L. Johnson,no page,
Henrique S. Malvar,https://en.wikipedia.org/wiki/Rico_Malvar,
George Peckham,https://en.wikipedia.org/wiki/George_Peckham,
Richard F. Rashid,https://en.wikipedia.org/wiki/Richard_Rashid,
Heung-Yeung Shum,https://en.wikipedia.org/wiki/Harry_Shum,
Phil Spencer,https://en.wikipedia.org/wiki/Phil_Spencer_(business_executive),
Renate Strazdina,no page,
Rik van der Kooi,no page,
Yongdong Wang,no page,
,,
"""Facebook""",,
Mark Elliot Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,
David M. Wehner,https://en.wikipedia.org/wiki/David_Wehner,
Sheryl Kara Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,
Robert Bednarski,no page,
Mike Bidgoli,no page,
